pattern,class,severity,action,note
bu nedenden dolayı,semantic_duplication,medium,review,"Often choose 'bu nedenle' or 'bundan dolayı'."
bu nedenden ötürü,semantic_duplication,medium,review,"Often duplicate cause."
zaman süresi,semantic_duplication,medium,review,"Often 'süre'."
yaklaşım tarzı,semantic_duplication,low,review,"Often 'yaklaşım'."
yol güzergahı,semantic_duplication,low,review,"Often 'güzergâh'; verify spelling live."
beklenmedik sürpriz,semantic_duplication,low,review,"Usually redundant."
yapabilmek mümkündür,possibility_duplication,medium,review,"Use one possibility construction."
yapılabilmesi mümkündür,possibility_duplication,medium,review,"Use one possibility construction."
yönelik olarak,possible_calque,low,review,"May be legitimate; inspect function."
stratejik olarak,possible_calque,low,review,"May be legitimate; inspect."
aktif olarak,possible_calque,low,review,"May be legitimate; inspect."
halihazırda,register,low,review,"Often 'şu anda'/'bugün'; context decides."
içerisinde,register,low,review,"Often 'içinde'; context decides."
gerçekleştirmek,nominalization,low,review,"Look for precise verb; not always wrong."
